AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
1355620,Mage Rage,2022,Indie,$2.99,0%,20,"$2,990.00",20,"$2,990.00"
459540,Cherry Tree High Girls' Fight,2016,Indie,$12.99,0%,63,"$40,918.50",62,"$40,269.00"
2375730,Mercenaries of the Kingdom: First Blood,2024,Indie,$12.99,0%,57,"$37,021.50",58,"$37,671.00"
29800,Caster,2009,Indie,$1.99,0%,3967,"$394,716.50",3959,"$393,920.50"
625560,The Overdreamer,2017,Indie,$4.99,0%,16,"$3,992.00",16,"$3,992.00"
2955500,Space Horde Attack,2024,Indie,$6.99,0%,12,"$4,194.00",12,"$4,194.00"
552720,Saga of the North Wind,2016,Indie,$6.99,0%,16,"$5,592.00",16,"$5,592.00"
357940,Telepath Tactics,2015,Indie,$14.99,0%,114,"$85,443.00",114,"$85,443.00"
2954840,Project Evolve,2024,Indie,$9.99,0%,11,"$5,494.50",11,"$5,494.50"
886970,Tomato Way 2,2018,Indie,$3.99,0%,125,"$24,937.50",126,"$25,137.00"
3655240,101 Cats Hidden in Taiwan,2025,Indie,$0.99,0%,0,$0.00,25,"$1,237.50"
978640,You Have 10 Seconds 3,2018,Indie,$2.99,0%,38,"$5,681.00",38,"$5,681.00"
2319870,The Sewer Job,2023,Indie,$1.99,0%,45,"$4,477.50",50,"$4,975.00"
1593220,Jessie 'Boom' James - a jigsaw chess tale,2021,Indie,$1.99,0%,19,"$1,890.50",19,"$1,890.50"
1053190,Lover Bands,2019,Indie,$0.99,0%,19,$940.50,19,$940.50
2944940,Snail's Knock Out!,2024,Indie,$3.98,0%,18,"$3,582.00",17,"$3,383.00"
2336160,bugTDX,2023,Indie,$2.99,0%,26,"$3,887.00",26,"$3,887.00"
1491040,Binarystar Infinity,2021,Indie,$4.99,0%,40,"$9,980.00",42,"$10,479.00"
2272770,"Luckily, My Arm Is A Shotgun",2023,Indie,$1.99,0%,62,"$6,169.00",62,"$6,169.00"
2717800,Project Vic,2024,Indie,$4.99,0%,20,"$4,990.00",21,"$5,239.50"
1011300,UNI,2019,Indie,$4.99,0%,425,"$106,037.50",428,"$106,786.00"
3095800,SUPER Dungeon Muncher,2024,Indie,$3.99,0%,56,"$11,172.00",61,"$12,169.50"
1174320,Travel Mosaics 10: Spooky Halloween,2019,Indie,$2.99,0%,16,"$2,392.00",16,"$2,392.00"
656600,Slash It Ultimate,2017,Indie,$29.99,0%,631,"$946,184.50",634,"$950,683.00"
380680,Gwan Moon High School : The Ghost Gate,2021,Indie,$18.99,0%,60,"$56,970.00",61,"$57,919.50"
1717120,Endless mahjong,2021,Indie,$34.99,0%,5,"$8,747.50",14,"$24,493.00"
1227860,Plastris,2020,Indie,$1.99,0%,32,"$3,184.00",41,"$4,079.50"
2207050,My Soul Forever,2022,Indie,$4.99,0%,18,"$4,491.00",32,"$7,984.00"
2243920,The 2nd page of the medical examination diary: Another story of exciting days of me and my senpai,2023,Indie,$11.99,0%,66,"$39,567.00",69,"$41,365.50"
1226490,Lost In Ferry VR,2020,Indie,$9.99,0%,16,"$7,992.00",16,"$7,992.00"
"438480,451160,539720,562360,636150",NukGames Pack,2016,Indie,$4.99,0%,2741,"$683,879.50",2845,"$709,827.50"
988650,Inclement,2018,Indie,$0.99,0%,36,"$1,782.00",36,"$1,782.00"
1725860,Keng's Little Universe,2022,Indie,$5.99,0%,24,"$7,188.00",25,"$7,487.50"
1689980,Yummy Mahjong,2021,Indie,$4.99,0%,15,"$3,742.50",24,"$5,988.00"
1692280,- R E F L E C T E D -,2021,Indie,$1.99,0%,32,"$3,184.00",32,"$3,184.00"
1507400,Soobmarinno,2021,Indie,$4.99,0%,18,"$4,491.00",17,"$4,241.50"
2325040,DETUNED,2023,Indie,$5.99,0%,17,"$5,091.50",17,"$5,091.50"
1954020,Cupid Kiss,2022,Indie,$2.99,0%,40,"$5,980.00",41,"$6,129.50"
3057460,There's No Aliens,2024,Indie,$3.99,0%,13,"$2,593.50",15,"$2,992.50"
2397120,subpar pool,2023,Indie,$9.99,0%,25,"$12,487.50",25,"$12,487.50"
1470970,GraviFire,2020,Indie,$3.99,0%,20,"$3,990.00",21,"$4,189.50"
427880,P.A.M.E.L.A.®,2020,Indie,$24.99,0%,913,"$1,140,793.50",917,"$1,145,791.50"
